datetime,indicator_name,indicator_dimension,value
2024-06-03 14:20:00,Pressure,Pa,98137.24
2024-06-03 14:20:00,PM2.5,ug/m3,5.4362
2024-06-03 14:20:00,PM10,ug/m3,9.0331
2024-06-03 14:20:00,NO₂,ppm,2.8579
2024-06-03 14:20:00,CO,ppm,0.004
2024-06-03 14:40:00,Temperature,°C,13.8658
2024-06-03 14:40:00,Humidity,%,19.1632
2024-06-03 14:40:00,Pressure,Pa,98133.7842
2024-06-03 14:40:00,PM2.5,ug/m3,5.4216
2024-06-03 14:40:00,PM10,ug/m3,9.4247
2024-06-03 14:40:00,NO₂,ppm,2.8608
2024-06-03 14:40:00,CO,ppm,0.004
2024-06-03 15:00:00,Temperature,°C,14.2661
2024-06-03 15:00:00,Humidity,%,19.1872
2024-06-03 15:00:00,Pressure,Pa,98122.9056
2024-06-03 15:00:00,PM2.5,ug/m3,5.5361
2024-06-03 15:00:00,PM10,ug/m3,9.5033
2024-06-03 15:00:00,NO₂,ppm,2.8171
2024-06-03 15:00:00,CO,ppm,0.004
2024-06-03 15:20:00,Temperature,°C,14.5772
2024-06-03 15:20:00,Humidity,%,18.8222
2024-06-03 15:20:00,Pressure,Pa,98127.5661
2024-06-03 15:20:00,PM2.5,ug/m3,5.9094
2024-06-03 15:20:00,PM10,ug/m3,10.1256
2024-06-03 15:20:00,NO₂,ppm,2.819
2024-06-03 15:20:00,CO,ppm,0.004
2024-06-03 15:40:00,Temperature,°C,14.8406
2024-06-03 15:40:00,Humidity,%,18.8389
2024-06-03 15:40:00,Pressure,Pa,98127.8283
2024-06-03 15:40:00,PM2.5,ug/m3,6.0972
2024-06-03 15:40:00,PM10,ug/m3,10.4111
2024-06-03 15:40:00,NO₂,ppm,2.7977
2024-06-03 15:40:00,CO,ppm,0.004
2024-06-03 16:00:00,Temperature,°C,15.0317
2024-06-03 16:00:00,Humidity,%,18.6822
2024-06-03 16:00:00,Pressure,Pa,98124.2706
2024-06-03 16:00:00,PM2.5,ug/m3,5.7872
2024-06-03 16:00:00,PM10,ug/m3,9.6194
2024-06-03 16:00:00,NO₂,ppm,2.795
2024-06-03 16:00:00,CO,ppm,0.004
2024-06-03 16:20:00,Temperature,°C,15.0589
2024-06-03 16:20:00,Humidity,%,18.9211
2024-06-03 16:20:00,Pressure,Pa,98118.7889
2024-06-03 16:20:00,PM2.5,ug/m3,6.1706
2024-06-03 16:20:00,PM10,ug/m3,9.8039
2024-06-03 16:20:00,NO₂,ppm,2.792
2024-06-03 16:20:00,CO,ppm,0.004
2024-06-03 16:40:00,Temperature,°C,15.4494
2024-06-03 16:40:00,Humidity,%,18.6459
2024-06-03 16:40:00,Pressure,Pa,98117.2506
2024-06-03 16:40:00,PM2.5,ug/m3,6.6781
2024-06-03 16:40:00,PM10,ug/m3,10.0781
2024-06-03 16:40:00,NO₂,ppm,2.7475
2024-06-03 16:40:00,CO,ppm,0.004
2024-06-03 17:00:00,Temperature,°C,15.5756
2024-06-03 17:00:00,Humidity,%,19.1733
2024-06-03 17:00:00,Pressure,Pa,98129.0633
2024-06-03 17:00:00,PM2.5,ug/m3,7.8072
2024-06-03 17:00:00,PM10,ug/m3,12.8811
2024-06-03 17:00:00,NO₂,ppm,2.7243
2024-06-03 17:00:00,CO,ppm,0.004
2024-06-03 17:20:00,Temperature,°C,15.6311
2024-06-03 17:20:00,Humidity,%,19.135
2024-06-03 17:20:00,Pressure,Pa,98141.16
2024-06-03 17:20:00,PM2.5,ug/m3,7.5994
2024-06-03 17:20:00,PM10,ug/m3,11.4939
2024-06-03 17:20:00,NO₂,ppm,2.7178
2024-06-03 17:20:00,CO,ppm,0.004
2024-06-03 17:40:00,Temperature,°C,15.6169
2024-06-03 17:40:00,Humidity,%,18.9019
2024-06-03 17:40:00,Pressure,Pa,98154.2244
2024-06-03 17:40:00,PM2.5,ug/m3,7.5419
